[2026-06-01 10:13:46] === Sniffer Started ===
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48156 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48140 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48156 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 192.168.146.128:48124 --> 104.21.91.215:443
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48156
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48114
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48140
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48124
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48114
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48156
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48140
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48156
[2026-06-01 10:16:33] TCP  | 104.21.91.215:443 --> 192.168.146.128:48124
[2026-06-01 10:16:33] TCP  | 34.160.144.191:443 --> 192.168.146.128:38228
[2026-06-01 10:16:33] TCP  | 192.168.146.128:38228 --> 34.160.144.191:443
[2026-06-01 10:16:33] TCP  | 34.160.144.191:443 --> 192.168.146.128:38228
[2026-06-01 10:16:33] TCP  | 192.168.146.128:38228 --> 34.160.144.191:443
[2026-06-01 10:16:33] TCP  | 34.160.144.191:443 --> 192.168.146.128:38228
[2026-06-01 10:16:33] TCP  | 192.168.146.128:38228 --> 34.160.144.191:443
